grp	dat	mod	rep	horiz	var	val
1B	20181109	B	1	OF	epaiseur_OF	0
1B	20181109	B	2	OF	epaiseur_OF	0
1B	20181109	B	2	OH	epaisseur_OH	0
2A	20181107	B	1	OF	Epaisseur	0
2A	20181107	B	1	OH	Epaisseur	0
1A	20181109	haut	1	S	pH	0,0354
1A	20181109	haut	3	S	pH	0,0371
1A	20181109	milieu	3	S	pH	0,04
1A	20181109	milieu	1	S	pH	0,0423
1A	20181109	bas	3	S	pH	0,0702
1A	20181109	bas	1	S	pH	0,0758
1B	20181109	H	2	A	humidite_relative	0,094239849
1A	20181109	milieu	1	S	HR	0,1473
1A	20181109	bas	2	S	HR	0,19
1B	20181109	M	1	A	humidite_relative	0,192561488
1A	20181109	bas	3	S	HR	0,2
1B	20181109	M	2	OH	epaisseur_OH	0,2
1B	20181109	H	2	OH	epaisseur_OH	0,2
2A	20181107	B	2	A	HR	0,2115
1A	20181109	haut	1	S	HR	0,2174
2A	20181107	B	3	A	HR	0,220453449
1A	20181109	bas	1	S	HR	0,2465
1A	20181109	milieu	3	S	HR	0,25
2A	20181107	H	3	A	HR	0,251933702
1B	20181109	M	3	A	humidite_relative	0,270611702
2A	20181107	B	1	A	HR	0,273356401
1B	20181109	B	2	A	humidite_relative	0,274401473
1A	20181109	haut	2	S	HR	0,29
2A	20181107	M	3	A	HR	0,290354823
1B	20181109	B	3	A	humidite_relative	0,294272548
1B	20181109	B	1	A	humidite_relative	0,308988764
1A	20181109	milieu	2	S	HR	0,31
1B	20181109	H	1	A	humidite_relative	0,387966805
2A	20181107	H	1	A	HR	0,4181892
2A	20181107	M	1	A	HR	0,433
2A	20181107	H	2	A	HR	0,436727487
2A	20181107	M	2	A	HR	0,477589641
1B	20181109	B	1	OH	epaisseur_OH	0,5
1B	20181109	H	2	OL	epaisseur_OL	0,5
2A	20181107	B	2	OH	Epaisseur	0,5
2A	20181107	H	2	OH	Epaisseur	0,5
1A	20181109	haut	3	S	HR	0,51
1B	20181109	M	2	A	humidite_relative	0,560606061
1B	20181109	H	3	A	humidite_relative	0,616242038
1B	20181109	M	1	OF	epaiseur_OF	1
1B	20181109	M	3	OF	epaiseur_OF	1
1B	20181109	M	1	OH	epaisseur_OH	1
1B	20181109	B	1	OL	epaisseur_OL	1
1B	20181109	M	3	OL	epaisseur_OL	1
1B	20181109	H	3	OL	epaisseur_OL	1
2A	20181107	B	1	OL	Epaisseur	1
2A	20181107	M	1	OL	Epaisseur	1
2A	20181107	M	2	OH	Epaisseur	1
2A	20181107	B	3	OH	Epaisseur	1
1B	20181109	H	3	OF	epaiseur_OF	1,5
1B	20181109	M	2	A	epaisseur_A	1,5
1B	20181109	M	1	OL	epaisseur_OL	1,5
1B	20181109	H	1	OL	epaisseur_OL	1,5
1B	20181109	H	1	OF	epaiseur_OF	2
1B	20181109	B	3	OF	epaiseur_OF	2
1B	20181109	M	3	OH	epaisseur_OH	2
1B	20181109	B	2	OL	epaisseur_OL	2
1B	20181109	B	3	OL	epaisseur_OL	2
2A	20181107	H	1	OL	Epaisseur	2
2A	20181107	H	1	OF	Epaisseur	2
2A	20181107	M	1	OF	Epaisseur	2
2A	20181107	H	2	OF	Epaisseur	2
2A	20181107	B	3	OL	Epaisseur	2
2A	20181107	H	3	OH	Epaisseur	2
2A	20181107	B	2	OL	Epaisseur	2,5
1B	20181109	H	2	A	PH	2,79
1B	20181109	H	3	A	epaisseur_A	3
1B	20181109	B	3	OH	epaisseur_OH	3
1B	20181109	M	2	OL	epaisseur_OL	3
2A	20181107	B	2	OF	Epaisseur	3
2A	20181107	H	2	OL	Epaisseur	3
2A	20181107	M	2	OL	Epaisseur	3
2A	20181107	H	3	OL	Epaisseur	3
2A	20181107	M	3	OH	Epaisseur	3
1B	20181109	M	2	A	PH	3,29
1B	20181109	H	3	A	pH	3,45
2B	20181106	H	2	A	pH	3,46
2B	20181106	H	1	A	pH	3,48
2A	20181107	B	3	OF	Epaisseur	3,5
1A	20181109	haut	2	S	pH	3,56
2B	20181106	H	3	A	pH	3,62
2B	20181106	M	1	A	pH	3,64
2B	20181106	M	2	A	pH	3,75
1B	20181109	M	3	A	pH	3,77
2A	20181107	haut	1	Sol	pH	3,8
2A	20181107	milieux	1	Sol	pH	3,88
1B	20181109	M	2	OF	epaiseur_OF	4
1B	20181109	H	1	OH	epaisseur_OH	4
2A	20181107	H	3	OF	Epaisseur	4
2A	20181107	M	3	OL	Epaisseur	4
2A	20181107	M	3	OF	Epaisseur	4
2A	20181107	milieu	2	sol	pH	4,01
1A	20181109	milieu	2	S	pH	4,06
1B	20181109	H	1	A	pH	4,18
2B	20181106	M	3	A	pH	4,18
2A	20181107	haut	3	sol	pH	4,44
2A	20181107	H	3	A	Epaisseur	4,5
1B	20181109	H	3	OH	epaisseur_OH	5
2A	20181107	M	3	A	Epaisseur	5
2A	20181107	milieu	3	sol	pH	5,37
1B	20181109	M	1	A	pH	5,62
2A	20181107	M	1	OH	Epaisseur	6
1B	20181109	H	1	A	epaisseur_A	7
2A	20181107	H	2	A	Epaisseur	7
2A	20181107	M	2	OF	Epaisseur	7
2A	20181107	bas	3	sol	pH	7,11
2A	20181107	bas	2	sol	pH	7,38
1B	20181109	B	1	A	pH	7,44
2A	20181107	bas	1	Sol	pH	7,44
1B	20181109	B	3	A	pH	7,56
2B	20181106	B	2	A	pH	7,57
1A	20181109	bas	2	S	pH	7,71
1B	20181109	B	2	A	PH	7,77
2B	20181106	B	3	A	pH	7,81
1B	20181109	M	1	A	epaisseur_A	8
2B	20181106	B	1	A	pH	8,04
2A	20181107	H	1	OH	Epaisseur	9
1B	20181109	B	1	A	epaisseur_A	10
2A	20181107	M	2	A	Epaisseur	10
1B	20181109	H	2	OF	epaiseur_OF	10,5
1B	20181109	M	3	A	epaisseur_A	11
1B	20181109	B	3	A	epaisseur_A	15
2A	20181107	B	1	A	Epaisseur	15
1B	20181109	H	2	A	epaisseur_A	20
2A	20181107	B	3	A	Epaisseur	20
2B	20181106	bas	3	sol	HR	21,31
2A	20181107	B	2	A	Epaisseur	22
2B	20181106	milieu	3	sol	HR	23,08
2B	20181106	haut	3	sol	HR	41,5
1B	20181109	B	2	OL	especes	Acari
2B	20181106	bas	2	litière	macrofaune	Gamasida
2B	20181106	haut	2	litière	macrofaune	Gamasida
2B	20181106	haut	2	litière	macrofaune	Gamasida
1A	20181109	haut	2	L	macro	Anion.circumscriptum
1A	20181109	bas	1	S	macro	Lumbriculida
1A	20181109	bas	1	S	macro	Lumbriculida
1A	20181109	haut	1	S	macro	Coleoptera
2A	20181107	B	3	Sol	Espèce	Aporectodea.limicola
2B	20181106	bas	2	sol	macrofaune	Aporrechodea.longa
2A	20181107	B	1	Litière	Ordre	Araneae
2A	20181107	B	1	Litière	Ordre	Araneae
2A	20181107	B	3	Sol	Ordre	Araneae
2A	20181107	B	3	Sol	Ordre	Araneae
2A	20181107	B	3	Litière	Ordre	Araneae
2B	20181106	haut	3	litière	macrofaune	Araneae
2B	20181106	haut	3	litière	macrofaune	Araneae
2B	20181106	bas	3	sol	macrofaune	Araneae
2B	20181106	bas	3	sol	macrofaune	Araneae
2B	20181106	bas	2	litière	macrofaune	Araneae
2B	20181106	bas	2	litière	macrofaune	Araneae
2B	20181106	bas	2	litière	macrofaune	Araneae
2B	20181106	haut	2	litière	macrofaune	Araneae
2B	20181106	haut	2	litière	macrofaune	Araneae
1B	20181109	H	2	OL	especes	Araneae
1B	20181109	H	2	OL	especes	Araneae
1B	20181109	M	2	OL	especes	Araneae
1B	20181109	B	2	A	especes	Araneae
1B	20181109	B	2	A	especes	Araneae
1B	20181109	M	2	A	especes	Araneae
1B	20181109	B	1	A	especes	Araneae
1B	20181109	H	1	A	especes	Araneae
2B	20181106	millieu	2	Sol	macrofaune	Araneae
2B	20181106	millieu	2	Sol	macrofaune	Araneae
2B	20181106	bas	3	litière	macrofaune	Araneae
1A	20181109	haut	3	L	macro	Araneae
1A	20181109	bas	2	L	macro	Araneae
1A	20181109	milieu	2	L	macro	Araneae
1A	20181109	milieu	2	L	macro	Araneae
1A	20181109	haut	1	S	macro	Araneae
1A	20181109	bas	3	L	macro	Araneae
1A	20181109	bas	1	S	macro	Araneae
1A	20181109	bas	1	S	macro	Araneae
1A	20181109	bas	1	L	macro	Araneae
1A	20181109	bas	1	L	macro	Araneae
1A	20181109	bas	1	L	macro	Araneae
1A	20181109	bas	3	L	macro	Arion.sp
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
2B	20181106	bas	2	sol	macrofaune	Armadilidae
1A	20181109	milieu	1	S	macro	Armadillidium.vulgare
1A	20181109	haut	1	L	macro	Armadillidium.vulgare
2B	20181106	haut	3	sol	macrofaune	Chilopoda
2B	20181106	milieu	3	sol	macrofaune	Chilopoda
2B	20181106	haut	3	litière	macrofaune	Chilopoda
