groupe TP	date	modalité	transect	horizon	nom variable	valeur	remarques
1A	09/11/2018	bas	3	L	macro	annelide	juvénile
1A	09/11/2018	bas	3	L	macro	arion	gastéropode - arionidae
1A	09/11/2018	bas	3	L	macro	hétéroptère	
1A	09/11/2018	bas	3	L	macro	Araneae	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	L	macro	Oniscus asellus	
1A	09/11/2018	bas	1	S	macro	Oniscus asellus	
1A	09/11/2018	bas	1	S	macro	Oniscus asellus	
1A	09/11/2018	bas	1	S	macro	Oniscus asellus	
1A	09/11/2018	bas	1	S	macro	Oniscus asellus	
1A	09/11/2018	bas	1	S	macro	hétéroptéra	
1A	09/11/2018	bas	1	S	macro	annelidae	
1A	09/11/2018	bas	1	S	macro	annelidae	
1A	09/11/2018	bas	1	S	macro	elateridae	
1A	09/11/2018	bas	1	S	macro	elateridae	
1A	09/11/2018	bas	1	S	macro	géophilomorha	
1A	09/11/2018	bas	1	S	macro	Scolopendromorpha	
1A	09/11/2018	bas	1	S	macro	Scolopendromorpha	
1A	09/11/2018	bas	1	S	macro	Araneae	
1A	09/11/2018	bas	1	S	macro	Araneae	
1A	09/11/2018	bas	1	S	macro	hémiptéra	
1A	10/11/2018	bas	1	L	macro	Araneae	
1A	11/11/2018	bas	1	L	macro	Araneae	
1A	12/11/2018	bas	1	L	macro	Araneae	
1A	13/11/2018	bas	1	L	macro	opiliones	
1A	14/11/2018	bas	1	L	macro	opiliones	
1A	15/11/2018	bas	1	L	macro	Lombric juvénil	
1A	16/11/2018	bas	1	L	macro	Scolopendromorpha	
1A	17/11/2018	bas	1	L	macro	Scolopendromorpha	
1A	18/11/2018	bas	1	L	macro	gastéropode pulmoné	
1A	19/11/2018	bas	1	L	macro	coccinellidae	
1A	20/11/2018	bas	1	L	macro	coccinellidae	
