Individu	Hauteur	Masse	Nb.grains	Masse.grains	Couleur	Germination.epi	Enracinement	Verse	Attaque	Parcelle	Hauteur.J7
46	236	1792	272	81.6	Jaune.rouge	Non	Fort	Oui	Oui	Est	240
47	256	1818	450	135.0	Jaune.rouge	Non	Tres.fort	Non	Non	Est	267
48	293	2147	152	42.9	Jaune.rouge	Non	Fort	Oui	Oui	Est	291
49	228	1706	369	113.4	Jaune	Non	Moyen	Oui	Oui	Est	225
50	269	1914	329	98.4	Jaune	Non	Moyen	Oui	Oui	Est	274
51	287	1860	362	102.4	Jaune	Non	Fort	Non	Non	Est	286
52	196	1525	132	39.6	Jaune	Oui	Fort	Non	Non	Est	194
53	218	1456	421	116.7	Jaune	Oui	Faible	Oui	Oui	Est	216
54	249	1800	341	101.4	Jaune.rouge	Non	Tres.fort	Non	Non	Est	261
55	321	2293	374	112.2	Jaune	Non	Faible	Oui	Oui	Est	305
56	319	2045	144	39.0	Jaune	Oui	Fort	Non	Non	Est	301
57	280	1964	385	120.9	Jaune	Non	Tres.fort	Oui	Oui	Est	283
58	265	1794	145	51.1	Jaune	Non	Tres.fort	Oui	Oui	Est	270
59	296	2098	425	124.8	Jaune	Oui	Faible	Oui	Oui	Est	294
60	240	1812	302	90.9	Jaune.rouge	Non	Fort	Oui	Oui	Est	243
61	311	2011	403	114.6	Jaune	Oui	Faible	Oui	Oui	Est	298
62	283	1971	430	116.9	Rouge	Non	Fort	Oui	Oui	Est	285
63	272	1966	361	96.0	Jaune	Non	Moyen	Oui	Oui	Est	276
64	246	1757	416	136.8	Rouge	Non	Fort	Oui	Oui	Est	252
65	NA	NA	NA	NA	Jaune	Non	Tres.fort	Non	Non	Ouest	225
66	286	2097	449	134.7	Jaune	Non	Fort	Non	Non	Ouest	282
67	299	2207	154	45.3	Rouge	Non	Fort	Non	Oui	Ouest	292
68	281	1956	220	76.8	Rouge	Non	Faible	Non	Oui	Ouest	280
69	278	1954	364	110.0	Jaune	Non	Tres.fort	Non	Non	Ouest	275
70	270	1970	328	101.4	Rouge	Non	Moyen	Non	Oui	Ouest	271
71	269	1742	342	105.6	Rouge	Non	Tres.fort	Non	Oui	Ouest	271
72	359	2752	389	114.6	Rouge	Non	Fort	Non	Non	Ouest	347
73	250	1685	458	129.0	Rouge	Non	Faible	Non	Oui	Ouest	255
74	280	1937	73	21.9	Jaune	Non	Tres.fort	Non	Non	Ouest	275
75	307	2180	203	60.9	Rouge	Non	Fort	Non	Oui	Ouest	309
76	252	1910	285	87.0	Jaune	Non	Tres.fort	Non	Oui	Ouest	258
77	288	2078	343	101.4	Jaune.rouge	Non	Tres.fort	Non	Non	Ouest	292
78	291	2022	383	121.8	Rouge	Non	Fort	Non	Oui	Ouest	281
79	299	2190	146	45.6	Jaune	Non	Tres.fort	Non	Oui	Ouest	297
80	311	2301	169	48.9	Jaune	Non	Moyen	Non	Oui	Ouest	319
81	283	1934	211	57.6	Rouge	Non	Fort	Non	Oui	Ouest	277
82	329	2422	406	137.1	Rouge	Non	Fort	Non	Oui	Ouest	340
83	237	1574	380	117.3	Jaune	Non	Faible	Oui	Non	Ouest	248
84	304	2177	456	127.5	Jaune.rouge	Non	Moyen	Non	Oui	Ouest	309
85	315	2351	188	75.6	Jaune	Non	Moyen	Non	Oui	Ouest	329
86	282	1840	163	49.8	Jaune	Non	Moyen	Non	Oui	Ouest	280
87	314	2102	192	70.2	Rouge	Non	Tres.fort	Non	Oui	Ouest	320
88	287	2079	143	46.2	Rouge	Non	Fort	Non	Oui	Ouest	291
89	235	1479	427	126.6	Jaune.rouge	Non	Fort	Non	Oui	Ouest	234
90	341	2473	173	66.0	Jaune	Non	Moyen	Non	Oui	Ouest	341
91	249	1713	100	30.0	Jaune.rouge	Non	Tres.fort	Non	Non	Ouest	252
92	299	1967	509	152.7	Jaune	Non	Tres.fort	Non	Non	Ouest	290
93	310	2282	457	137.1	Jaune	Non	Tres.fort	Non	Non	Ouest	312
94	299	2174	352	114.6	Rouge	Non	Tres.fort	Non	Non	Ouest	305
95	286	2036	390	115.5	Rouge	Non	Tres.fort	Non	Non	Ouest	295
96	263	1924	130	41.7	Jaune	Non	Tres.fort	Non	Oui	Ouest	263
97	308	1994	194	58.2	Jaune.rouge	Non	Moyen	Non	Oui	Ouest	310
98	259	1324	199	51.9	Rouge	Non	Moyen	Oui	Non	Ouest	262
99	268	1903	422	128.1	Jaune	Non	Tres.fort	Non	Non	Ouest	266
100	269	1722	333	101.4	Jaune.rouge	Non	Tres.fort	Non	Non	Ouest	270
